_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,fluency_assessment,reply,abstr_da,abstr_utt,da,type,utt
873600886,2/5/2016 17:40:05,1882099502,2/5/2016 17:36:44,false,zoombucks,0.875,4711962,CAN,ON,Markham,174.88.29.44,"{""text"":""You go to Penn Station"",""result"":""yes""}",You go to Penn Station,"inform(to_stop=""*STREET"")",change destination to *STOP,to_stop=Penn Station,confirm,change destination to Penn Station
873600886,2/5/2016 17:54:19,1882111942,2/5/2016 17:40:42,false,prodege,0.5,34650780,GBR,D4,Crediton,81.153.111.149,"{""text"":""OK, I'll change your destination to Penn Station "",""result"":""yes""}","OK, I'll change your destination to Penn Station.","inform(to_stop=""*STREET"")",change destination to *STOP,to_stop=Penn Station,confirm,change destination to Penn Station
873600886,2/5/2016 18:11:47,1882126554,2/5/2016 18:07:41,false,neodev,0.4167,35584800,CAN,AB,Edmonton,174.3.224.48,"{""text"":""Yes, your destination is changed to Penn Station"",""result"":""yes""}","Yes, your destination is changed to Penn Station.","inform(to_stop=""*STREET"")",change destination to *STOP,to_stop=Penn Station,confirm,change destination to Penn Station
873600887,2/5/2016 17:44:54,1882103584,2/5/2016 17:43:04,false,zoombucks,0.875,4711962,CAN,ON,Markham,174.88.29.44,"{""text"":""You can take M31 bus departure time 4:10pm from Rector Street to Bowling Green"",""result"":""yes""}",You can take M31 bus departure time 4:10pm from Rector Street to Bowling Green,"inform(to_stop=""*STREET"")",change destination to *STOP,"departure_time=4:10pm, line=M31, from_stop=Rector Street, vehicle=bus, direction=Bowling Green",reply,change destination to Bowling Green
873600887,2/5/2016 17:53:04,1882110710,2/5/2016 17:47:00,false,cotter,0.5,1495820,USA,AL,Talladega,24.177.180.29,"{""text"":""To now go to Bowling Green, take the bus to Rector Street from the line M31, at 4:10pm."",""result"":""yes""}","To now go to Bowling Green, take the bus to Rector Street from the M31 line, at 4:10pm.","inform(to_stop=""*STREET"")",change destination to *STOP,"departure_time=4:10pm, line=M31, from_stop=Rector Street, vehicle=bus, direction=Bowling Green",reply,change destination to Bowling Green
873600887,2/5/2016 18:00:13,1882117108,2/5/2016 17:49:35,false,neodev,0.4167,35584800,CAN,AB,Edmonton,174.3.224.48,"{""text"":""So, now your new destination is Bowling Green, am I correct? For this route the departure time of the bus  is 4:10pm on line M31 from bus stop Rector Street"",""result"":""yes""}","So, now your new destination is Bowling Green, am I correct? For this route the departure time of the bus  is 4:10pm on line M31 from bus stop Rector Street.","inform(to_stop=""*STREET"")",change destination to *STOP,"departure_time=4:10pm, line=M31, from_stop=Rector Street, vehicle=bus, direction=Bowling Green",reply,change destination to Bowling Green
873600888,2/5/2016 17:43:03,1882102012,2/5/2016 17:40:06,false,zoombucks,0.875,4711962,CAN,ON,Markham,174.88.29.44,"{""text"":""You go to Astor Place"",""result"":""yes""}",You go to Astor Place,"inform(to_stop=""*STREET"")",my destination is *STOP,to_stop=Astor Place,confirm,my destination is Astor Place
873600888,2/5/2016 18:20:36,1882134753,2/5/2016 18:15:15,false,neodev,0.4167,35584800,CAN,AB,Edmonton,174.3.224.48,"{""text"":""Confirmed. Your destination is Astor Place"",""result"":""yes""}",Confirmed. Your destination is Astor Place.,"inform(to_stop=""*STREET"")",my destination is *STOP,to_stop=Astor Place,confirm,my destination is Astor Place
873600888,2/5/2016 19:27:38,1882216043,2/5/2016 19:21:49,false,vivatic,0.3333,32338429,GBR,F2,Farnborough,92.21.204.187,"{""text"":""Astor Place? Sure."",""result"":""yes""}",Astor Place? Sure.,"inform(to_stop=""*STREET"")",my destination is *STOP,to_stop=Astor Place,confirm,my destination is Astor Place
873600889,2/5/2016 17:43:03,1882102014,2/5/2016 17:40:06,false,zoombucks,0.875,4711962,CAN,ON,Markham,174.88.29.44,"{""text"":""You can take line Z subway departure time 6:06pm from Bowling Green to Columbus Circle"",""result"":""yes""}",You can take line Z subway departure time 6:06pm from Bowling Green to Columbus Circle,"inform(to_stop=""*STREET"")",my destination is *STOP,"departure_time=6:06pm, from_stop=Bowling Green, direction=Columbus Circle, line=Z, vehicle=subway",reply,my destination is Columbus Circle
