_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,fluency_assessment,reply,validation_log,abstr_da,abstr_utt,da,type,utt
903248811,3/10/2016 17:56:17,1918856902,3/10/2016 17:53:56,false,zoombucks,0.6991,4711962,CAN,ON,Markham,76.68.124.132,"{""text"":""at 7:30 am or morning"",""result"":""yes""}",at 7:30 am or morning,,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&request(duration)",and i would like to know the duration of the trip and find out the connections at *NUMBER *NUMBER *AMPM,"departure_time=7:30, ampm=am",confirm,and i would like to know the duration of the trip and find out the connections at seven thirty am
903248811,3/10/2016 17:57:12,1918858162,3/10/2016 17:53:53,false,elite,0.7125,36350388,USA,FL,Lehigh Acres,76.1.167.7,"{""text"":""At 7:30 am."",""result"":""yes""}",At 7:30 am.,,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&request(duration)",and i would like to know the duration of the trip and find out the connections at *NUMBER *NUMBER *AMPM,"departure_time=7:30, ampm=am",confirm,and i would like to know the duration of the trip and find out the connections at seven thirty am
903248811,3/10/2016 18:19:09,1918879289,3/10/2016 18:18:09,false,elite,0.68,32799278,GBR,V2,Glasgow,81.136.58.12,"{""text"":""7:30 am in the morning"",""result"":""yes""}",7:30 am in the morning,,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&request(duration)",and i would like to know the duration of the trip and find out the connections at *NUMBER *NUMBER *AMPM,"departure_time=7:30, ampm=am",confirm,and i would like to know the duration of the trip and find out the connections at seven thirty am
903248812,3/10/2016 17:46:47,1918845461,3/10/2016 17:45:10,false,elite,0.7125,36350388,USA,FL,Lehigh Acres,76.1.167.7,"{""text"":""From what station and to what destination?"",""result"":""yes""}",From what station and to what destination?,,"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")",i need to find out the connection in *NUMBER minutes,"from_stop=?, to_stop=?",request,i need to find out the connection in ten minutes
903248812,3/10/2016 17:48:15,1918847035,3/10/2016 17:47:13,false,zoombucks,0.6991,4711962,CAN,ON,Markham,76.68.124.132,"{""text"":""from where to where"",""result"":""yes""}",from where to where,,"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")",i need to find out the connection in *NUMBER minutes,"from_stop=?, to_stop=?",request,i need to find out the connection in ten minutes
903248812,3/10/2016 18:02:39,1918865121,3/10/2016 17:58:40,false,neodev,0.6458,23017572,USA,CA,Los Angeles,67.215.241.21,"{""text"":""ok but i need you to tell me from where and to where do you want to travel?"",""result"":""yes""}",ok but i need you to tell me from where and to where do you want to travel?,,"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")",i need to find out the connection in *NUMBER minutes,"from_stop=?, to_stop=?",request,i need to find out the connection in ten minutes
903248813,3/10/2016 17:37:51,1918837258,3/10/2016 17:36:19,false,elite,0.7125,36350388,USA,FL,Lehigh Acres,76.1.167.7,"{""text"":""At 6:00, from what station and to what direction?"",""result"":""yes""}","At 6:00, from what station and to what direction?",,"inform(departure_time=""*TIME"")",i need information about a *NUMBER o'clock ride but,"confirm: departure_time=6:00; request: from_stop=?, to_stop=?",confirm-request,i need information about a six o'clock ride but
903248813,3/10/2016 17:43:02,1918841555,3/10/2016 17:41:41,false,zoombucks,0.6991,4711962,CAN,ON,Markham,76.68.124.132,"{""text"":""at 6:00 from where to where"",""result"":""yes""}",at 6:00 from where to where,,"inform(departure_time=""*TIME"")",i need information about a *NUMBER o'clock ride but,"confirm: departure_time=6:00; request: from_stop=?, to_stop=?",confirm-request,i need information about a six o'clock ride but
903248813,3/10/2016 17:49:33,1918848541,3/10/2016 17:45:16,false,neodev,0.6458,23017572,USA,CA,Los Angeles,67.215.241.21,"{""text"":""ok sir but to tell you about the 6:00 ride i need you to tell me from where and to where do you want to travel?"",""result"":""yes""}",ok sir but to tell you about the 6:00 ride i need you to tell me from where and to where do you want to travel?,,"inform(departure_time=""*TIME"")",i need information about a *NUMBER o'clock ride but,"confirm: departure_time=6:00; request: from_stop=?, to_stop=?",confirm-request,i need information about a six o'clock ride but
903248814,3/10/2016 17:50:12,1918849422,3/10/2016 17:47:56,false,elite,0.7125,36350388,USA,FL,Lehigh Acres,76.1.167.7,"{""text"":""At 7:48pm."",""result"":""yes""}",At 7:48pm.,,"request(departure_time=""*DEPARTURE_TIME"")",when does it leave,departure_time=7:48pm,reply,when does it leave
