_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,fluency_assessment,reply,validation_log,abstr_da,abstr_utt,da,type,utt,check_result
887359115,2/19/2016 19:22:12,1899603268,2/19/2016 19:20:13,false,clixsense,0.5043,21665495,CAN,QC,Montréal,24.105.69.70,"{""text"":""from Chambers Street to where, madam"",""result"":""yes""}","from Chambers Street to where, madam",,"inform(from_stop=""*STREET"")",from *STOP,confirm: from_stop=Chambers Street; request: to_stop=?,confirm-request,from Chambers Street,Y-LS
887359115,2/19/2016 19:45:57,1899629385,2/19/2016 19:44:03,false,zoombucks,0.5261,4711962,CAN,ON,Markham,174.88.29.44,"{""text"":""from stop Chambers Street to what stop"",""result"":""yes""}",from Chambers Street to what stop  ,,"inform(from_stop=""*STREET"")",from *STOP,confirm: from_stop=Chambers Street; request: to_stop=?,confirm-request,from Chambers Street,E-LS from stop Chambers Street to what stop
887359115,2/19/2016 20:13:06,1899666257,2/19/2016 20:11:09,false,clixsense,0.64,31738779,CAN,ON,Toronto,23.91.150.221,"{""text"":""You want to travel from Chambers Street to where?"",""result"":""yes""}",You want to travel from Chambers Street to where?,,"inform(from_stop=""*STREET"")",from *STOP,confirm: from_stop=Chambers Street; request: to_stop=?,confirm-request,from Chambers Street,Y-LS
887359116,2/19/2016 19:28:33,1899607854,2/19/2016 19:27:36,false,clixsense,0.5043,21665495,CAN,QC,Montréal,24.105.69.70,"{""text"":""a lot connects Canal Street to Lincoln Center"",""result"":""yes""}",a lot connects Canal Street to Lincoln Center,,"inform(to_stop=""*STREET"")&inform(from_stop=""*STOP"")",i want to leave from *STOP and go to *STOP,"to_stop=Lincoln Center, from_stop=Canal Street",confirm,i want to leave from Canal Street and go to Lincoln Center,N-
887359116,2/19/2016 20:43:02,1899688031,2/19/2016 20:37:27,false,clixsense,0.64,31738779,CAN,ON,Toronto,23.91.150.221,"{""text"":""You want to travel from Canal Street to Lincoln Center."",""result"":""yes""}",You want to travel from Canal Street to Lincoln Center.,,"inform(to_stop=""*STREET"")&inform(from_stop=""*STOP"")",i want to leave from *STOP and go to *STOP,"to_stop=Lincoln Center, from_stop=Canal Street",confirm,i want to leave from Canal Street and go to Lincoln Center,Y-S
887359116,2/19/2016 20:58:20,1899698436,2/19/2016 20:56:33,false,instagc,0.5433,18672993,CAN,BC,Vancouver,76.77.82.83,"{""text"":""Alrighty then from Canal Street to Lincoln Center"",""result"":""yes""}",Alrighty then from Canal Street to Lincoln Center,,"inform(to_stop=""*STREET"")&inform(from_stop=""*STOP"")",i want to leave from *STOP and go to *STOP,"to_stop=Lincoln Center, from_stop=Canal Street",confirm,i want to leave from Canal Street and go to Lincoln Center,Y-S
887359117,2/19/2016 16:59:17,1899304869,2/19/2016 16:46:04,false,clixsense,0.55,21875134,GBR,,,146.90.159.160,"{""text"":""You want to go from Penn Station to Central Park"",""result"":""yes""}",You want to go from Penn Station to Central Park,,"inform(from_stop=""*STREET"")&inform(to_stop=""*STOP"")",yes i need a ride from *STOP to *STOP,"from_stop=Penn Station, to_stop=Central Park",confirm,yes i need a ride from Penn Station to Central Park,Y-S
887359117,2/19/2016 17:34:42,1899341732,2/19/2016 17:31:55,false,instagc,0.6245,20312760,GBR,K1,Oldham,78.145.179.8,"{""text"":""You want to go from Penn Station to Central Park"",""result"":""yes""}",You want to go from Penn Station to Central Park,,"inform(from_stop=""*STREET"")&inform(to_stop=""*STOP"")",yes i need a ride from *STOP to *STOP,"from_stop=Penn Station, to_stop=Central Park",confirm,yes i need a ride from Penn Station to Central Park,Y-S
887359117,2/19/2016 18:36:50,1899500923,2/19/2016 18:31:36,false,elite,0.7417,31994588,GBR,H9,London,165.225.80.89,"{""text"":""You would like to travel from Penn Station the Central Park"",""result"":""yes""}",You would like to travel from Penn Station to Central Park  ,,"inform(from_stop=""*STREET"")&inform(to_stop=""*STOP"")",yes i need a ride from *STOP to *STOP,"from_stop=Penn Station, to_stop=Central Park",confirm,yes i need a ride from Penn Station to Central Park,E-S You would like to travel from Penn Station the Central Park
887359118,2/19/2016 16:59:17,1899304871,2/19/2016 16:46:04,false,clixsense,0.55,21875134,GBR,,,146.90.159.160,"{""text"":""OK, you want a later option"",""result"":""yes""}","OK, you want a later option",,"inform(alternative=""next"")",is there a later option,alternative=next,confirm,is there a later option,Y-LS
