113		null()
1048		silence()
1	find a connection from *STREET in *BOROUGH to *STREET	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
1	find a connection	inform(task="find_connection")
1	make a *BOROUGH	inform(borough="*BOROUGH")
1	make a connection	inform(task="find_connection")
1	ask about the time requirement	request(duration)
1	information about public	null()
1	what about the duration of the trip	null()
1	what about the *NUMBER *AMPM connection	inform(departure_time="*DEPARTURE_TIME")&inform(ampm="*AMPM")&inform(task="find_connection")
1	what about the time requirements	request(duration)
1	what about time requirements to find out the next connection	inform(task="find_connection")&request(duration)&inform(alternative="next")
1	ok	ack()
1	okay	ack()
35	yes	affirm()
1	that's all	null()
1	that's all thank you good bye	bye()&thankyou()
1	i also want to know about time requirements	request(duration)
3	i am looking for a connection	inform(task="find_connection")
1	i am still here	null()
1	i am trying to find a connection from *STREET *BOROUGH to *STREET	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
4	*NUMBER *AMPM	inform(time="*TIME")&inform(ampm="*AMPM")
1	*NUMBER *AMPM weather in *STREET	inform(to_street="*STREET")&inform(time="*TIME")&inform(ampm="*AMPM")&inform(task="weather")
1	*CITY and *NUMBER	inform(city="*CITY")
1	*NUMBER and the next connection and the forecast in *CITY	inform(in_city="*CITY")&inform(task="find_connection")&inform(task="weather")&inform(alternative="next")
1	ok and how many transfers will i need	ack()&request(num_transfers)
1	ok and i need to find out the connection in a *NUMBER an hour	inform(departure_time_rel="*DEPARTURE_TIME_REL")&inform(task="find_connection")&ack()
1	okay and what is the weather forecast and the time	inform(task="weather")&ack()
1	*STOP and	inform(stop="*STOP")
1	*STREET and *NUMBER second	inform(street="*STREET")
8	*STREET and *STREET	inform(street="*STREET")&inform(street="*STREET")
1	what are the number of transfers	request(num_transfers)
1	what are the time requirements for the next connection from *STOP the east state *CITY	inform(from_stop="*STOP")&inform(from_city="*CITY")&inform(task="find_connection")&request(duration)&inform(alternative="next")
2	what are the time requirements	request(duration)
1	you are not helping me	negate()
1	south arkana forecast	null()
1	that'll be it	null()
1	to be like in *BOROUGH	inform(in_borough="*BOROUGH")
1	and *BOROUGH	inform(borough="*BOROUGH")
1	from *BOROUGH	inform(from_borough="*BOROUGH")
1	in *BOROUGH *CITY	inform(in_borough="*BOROUGH")&inform(in_city="*CITY")
6	in *BOROUGH	inform(in_borough="*BOROUGH")
1	*STREET *BOROUGH i did not understand	inform(street="*STREET")&inform(borough="*BOROUGH")&notunderstood()&negate()&ack()
29	*STREET *BOROUGH	inform(street="*STREET")&inform(borough="*BOROUGH")
2	*STREET *BOROUGH to	inform(from_street="*STREET")&inform(from_borough="*BOROUGH")
1	*STREET *BOROUGH to *STREET and *STREET	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(to_street2="*STREET")&inform(from_borough="*BOROUGH")
1	*STREET *BOROUGH to *STREET how long is it	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&request(distance)
