_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,fluency_assessment,reply,abstr_da,abstr_utt,da,type,utt
882940703,2/15/2016 16:58:02,1894649369,2/15/2016 16:55:09,false,vivatic,1.0,32338429,GBR,F2,Aldershot,92.3.95.165,"{""text"":""Certainly, you can take the subway at 8:03pm from Canal street directly to Wall Street. The line is R."",""result"":""yes""}","Certainly, you can take the subway at 8:03pm from Canal street directly to Wall Street. The line is R.","inform(to_stop=""*STREET"")",no i would like to go to *STOP,"direction=Wall Street, line=R, from_stop=Canal Street, departure_time=8:03pm, vehicle=subway",reply,no i would like to go to Wall Street
882940703,2/15/2016 20:16:24,1894795200,2/15/2016 20:08:35,false,prodege,0.5,16101132,GBR,G1,Hounslow,5.66.95.255,"{""text"":""Take the subway at 8:03pm, use line r from canal street going in the dir of Wall Street, this will take you where you want to go."",""result"":""yes""}","Take the subway at 8:03pm, use line r from canal street going in the dir of Wall Street, this will take you where you want to go.","inform(to_stop=""*STREET"")",no i would like to go to *STOP,"direction=Wall Street, line=R, from_stop=Canal Street, departure_time=8:03pm, vehicle=subway",reply,no i would like to go to Wall Street
882940703,2/15/2016 22:06:35,1894868324,2/15/2016 21:59:53,false,personaly,0.3333,35992269,USA,NY,New York,199.168.151.168,"{""text"":""You can take the subway line R with a dir towards Wall Street from Canal Street. The next train departs at 8:03pm."",""result"":""yes""}",You can take the subway line R with a dir towards Wall Street from Canal Street. The next train departs at 8:03pm.,"inform(to_stop=""*STREET"")",no i would like to go to *STOP,"direction=Wall Street, line=R, from_stop=Canal Street, departure_time=8:03pm, vehicle=subway",reply,no i would like to go to Wall Street
882940704,2/15/2016 16:55:08,1894647125,2/15/2016 16:53:16,false,vivatic,1.0,32338429,GBR,F2,Aldershot,92.3.95.165,"{""text"":""A ride at a later time? Let me just check for you."",""result"":""yes""}",A ride at a later time? Let me just check for you.,"inform(alternative=""next"")",is there a ride at a later time,alternative=next,confirm,is there a ride at a later time
882940704,2/15/2016 17:28:17,1894673677,2/15/2016 17:24:25,false,neodev,0.5,31085823,USA,OH,Mansfield,173.88.128.144,"{""text"":""There is another ride two hours later."",""result"":""yes""}",There is another ride two hours later.,"inform(alternative=""next"")",is there a ride at a later time,alternative=next,confirm,is there a ride at a later time
882940704,2/15/2016 18:03:29,1894704216,2/15/2016 18:00:44,false,zoombucks,0.4167,4711962,CAN,ON,Markham,174.88.29.44,"{""text"":""there is a ride at a next time, later time and after time"",""result"":""yes""}","there is a ride at a next time, later time and after time","inform(alternative=""next"")",is there a ride at a later time,alternative=next,confirm,is there a ride at a later time
882940705,2/15/2016 16:55:08,1894647122,2/15/2016 16:53:16,false,vivatic,1.0,32338429,GBR,F2,Aldershot,92.3.95.165,"{""text"":""A later alternative? Let me just check. "",""result"":""yes""}",A later alternative? Let me just check.,"inform(alternative=""next"")",is there a later alternative,alternative=next,confirm,is there a later alternative
882940705,2/15/2016 17:28:17,1894673679,2/15/2016 17:24:25,false,neodev,0.5,31085823,USA,OH,Mansfield,173.88.128.144,"{""text"":""There is a later alternative."",""result"":""yes""}",There is a later alternative.,"inform(alternative=""next"")",is there a later alternative,alternative=next,confirm,is there a later alternative
882940705,2/15/2016 18:03:29,1894704212,2/15/2016 18:00:44,false,zoombucks,0.4167,4711962,CAN,ON,Markham,174.88.29.44,"{""text"":""there is a next time, later time and after time"",""result"":""yes""}","there is a next time, later time and after time","inform(alternative=""next"")",is there a later alternative,alternative=next,confirm,is there a later alternative
882940706,2/15/2016 16:53:15,1894645404,2/15/2016 16:51:36,false,vivatic,1.0,32338429,GBR,F2,Aldershot,92.3.95.165,"{""text"":""You will arrive at 7:43pm. "",""result"":""yes""}",You will arrive at 7:43pm.,"request(arrival_time=""*ARRIVAL_TIME"")",what's the arrival time at the destination,arrival_time=7:43pm,reply,what's the arrival time at the destination
882940706,2/15/2016 18:00:43,1894702099,2/15/2016 17:57:39,false,zoombucks,0.4167,4711962,CAN,ON,Markham,174.88.29.44,"{""text"":""the arrival time at the destination will be 7:43pm"",""result"":""yes""}",the arrival time at the destination will be 7:43pm,"request(arrival_time=""*ARRIVAL_TIME"")",what's the arrival time at the destination,arrival_time=7:43pm,reply,what's the arrival time at the destination
