> SYSTEM :	hello() 	Hello, this is Alex, information about public transportation, the call is recorded, how may I help you?
> USER :	inform(to_stop="Penn Station")&inform(from_stop="Washington Square")&inform(to_city="Stewart") 	i would like to start from washington square and go to penn station
> SYSTEM :	iconfirm(to_stop="Penn Station")&iconfirm(from_stop="Washington Square")&confirm(to_city="Stewart") 	Alright, from washington square to penn station, Do you want to arrive in Stewart?
> USER :	affirm() 	yes
> SYSTEM :	iconfirm(from_city="New York")&apology()&inform(stops_conflict="incompatible")&inform(to_city="Stewart")&inform(to_stop="Penn Station") 	From New York, I'm sorry, there is an incompatibility, to the penn station in Stewart,
> SYSTEM :	silence() 	None
> USER :	inform(to_stop="Penn Station")&inform(from_stop="Washington Square") 	can i go from washington square to penn station
> SYSTEM :	irepeat() 	From New York, I'm sorry, there is an incompatibility, to the penn station in Stewart,
> USER :	inform(city="Stewart") 	no i don't want stewart
> SYSTEM :	iconfirm(from_city="New York")&apology()&inform(stops_conflict="incompatible")&inform(to_city="Stewart")&inform(to_stop="Penn Station") 	From New York, I'm sorry, there is an incompatibility, to the penn station in Stewart,
> USER :	thankyou()&bye() 	thank you goodbye
> SYSTEM :	say(text="Your code is 4, 0, 6, 4 . I repeat, Your code is 4, 0, 6, 4 . I repeat, Your code is 4, 0, 6, 4 .") bye() 	Your code is 4, 0, 6, 4 . I repeat, Your code is 4, 0, 6, 4 . I repeat, Your code is 4, 0, 6, 4 . Thank you for calling, good bye.


> SYSTEM :	hello() 	Hello, this is Alex, public transport information, the call is recorded, how may I help you?
> USER :	null() 	i need to find out about a transit schedule i wanna go from chambers street to times square wanna know how long it would take and what bus that would be on and an alternative for six in the evening going to houston street
> SYSTEM :	request(to_stop) 	What station do you want to go to?
> SYSTEM :	silence() 	None
> USER :	inform(street="Times Sq") 	times square
> SYSTEM :	request(to_stop) 	Where do you want to travel to?
> USER :	inform(street="Times Sq") 	times square
> SYSTEM :	request(to_stop) 	Where do you want to travel to?
> USER :	inform(street="Houston St") 	houston street
> SYSTEM :	iconfirm(to_stop="Houston St")&request(from_stop) 	To houston street, Where are you traveling from?
> USER :	inform(street="Chambers St") 	chambers street
> SYSTEM :	iconfirm(from_stop="Chambers St")&inform(found_directions="true")&inform(alternative="first")&inform(vehicle="subway")&inform(line="1")&inform(departure_time="09:29:AM")&inform(enter_at="chambers street")&inform(headsign="Van Cortlandt Park - 242 St")&inform(exit_at="houston street") 	From chambers street, first connection, Take the subway 1 at nine twenty nine A M from chambers street towards van cortlandt park , two hundred and forty second street. Get off at houston street.
> SYSTEM :	silence() 	None
> SYSTEM :	silence() 	None
> SYSTEM :	silence() 	None
> SYSTEM :	inform(silence_timeout="true") 	Hallo, do we hear each other?
> USER :	thankyou()&bye() 	thank you goodbye
> SYSTEM :	None 	None
> USER :	inform(city="Lake")&bye() 	thank thank you goodbye
> USER :	null() 	hello
> USER :	request(duration) 	how long does it take to get there
> USER :	thankyou()&bye() 	thank you good-
> USER :	bye() 	bye


> SYSTEM :	hello() 	Hello, this is Alex, public transport information, the call is recorded, how may I help you?
> SYSTEM :	silence() 	None
> USER :	inform(vehicle="tram") 	i wanna find out about a transit schedule
> SYSTEM :	confirm(vehicle="tram") 	Do you want to travel by tram?
> USER :	inform(city="Tell") 	transit schedule
> SYSTEM :	confirm(vehicle="tram") 	Do you want to travel by tram?
> USER :	affirm() 	yes
> SYSTEM :	request(to_stop) 	What station do you want to go to?
> USER :	inform(street="Times Sq") 	times square
> SYSTEM :	request(to_stop) 	Where are you heading?
> USER :	inform(street="Times Sq") 	times square
> SYSTEM :	request(to_stop) 	Where are you going?
> USER :	inform(street="Houston St") 	houston street
> SYSTEM :	iconfirm(to_stop="Houston St")&request(from_stop) 	Alright, to houston street, Where are you leaving from?
> USER :	inform(street="Chambers St") 	chambers street
> SYSTEM :	apology()&inform(from_stop="Chambers St")&inform(to_stop="Houston St")&inform(vehicle="tram") 	I'm sorry, a connection from chambers street to houston street by tram was not found.
> USER :	thankyou()&bye() 	thank you goodbye
> SYSTEM :	say(text="Your code is 4, 7, 6, 0 . I repeat, Your code is 4, 7, 6, 0 . I repeat, Your code is 4, 7, 6, 0 .") bye() 	Your code is 4, 7, 6, 0 . I repeat, Your code is 4, 7, 6, 0 . I repeat, Your code is 4, 7, 6, 0 . Thank you for calling, good bye.


> SYSTEM :	hello() 	Hello, this is Alex, information about public transportation, the call is recorded, how may I help you?
> USER :	inform(to_street="Dikeman St")&inform(to_stop="Columbia University")&inform(in_city="Pledger")&inform(from_city="Henning") 	i am looking for an itinerary please my departure stop is columbia university and i am heading to dyckman street
