Testing connection to the update server..
i would like to start from washington square and go to penn station	i would like to start from *STOP and go to *STOP	inform(from_stop="Washington Square")&inform(to_stop="Penn Station")	inform(from_stop="*STOP")&inform(to_stop="*STOP")
yes	yes	affirm()	affirm()
can i go from washington square to penn station	can i go from *STOP to *STOP	inform(from_stop="Washington Square")&inform(to_stop="Penn Station")	inform(from_stop="*STOP")&inform(to_stop="*STOP")
no i don't want stewart	no i don't want *CITY	inform(city="Stewart")&negate()	inform(city="*CITY")&negate()
thank you goodbye	thank you goodbye	bye()&thankyou()	bye()&thankyou()
i need to find out about a transit schedule i wanna go from chambers street to times square wanna know how long it would take and what bus that would be on and an alternative for six in the evening going to houston street	i need to find out about a transit schedule i wanna go from *STREET to *STREET wanna know how long it would take and what *VEHICLE that would be on and an alternative for *NUMBER in the *AMPM going to *STREET	inform(from_street="Chambers St")&inform(to_street="Times Sq")&inform(to_street2="Houston St")&inform(ampm="evening")&inform(vehicle="bus")&inform(task="find_connection")&request(duration)	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(to_street2="*STREET")&inform(ampm="*AMPM")&inform(vehicle="*VEHICLE")&inform(task="find_connection")&request(duration)
times square	*STREET	inform(street="Times Sq")	inform(street="*STREET")
times square	*STREET	inform(street="Times Sq")	inform(street="*STREET")
houston street	*STREET	inform(street="Houston St")	inform(street="*STREET")
chambers street	*STREET	inform(street="Chambers St")	inform(street="*STREET")
thank you goodbye	thank you goodbye	bye()&thankyou()	bye()&thankyou()
thank thank you goodbye	thank thank you goodbye	bye()&thankyou()	bye()&thankyou()
hello	hello	hello()	hello()
how long does it take to get there	how long does it take to get there	request(duration)	request(duration)
thank you good-	thank you good-	thankyou()	thankyou()
bye	bye	bye()	bye()
i wanna find out about a transit schedule	i wanna find out about a transit schedule	inform(task="find_connection")	inform(task="find_connection")
transit schedule	transit schedule	inform(task="find_connection")	inform(task="find_connection")
yes	yes	affirm()	affirm()
times square	*STREET	inform(street="Times Sq")	inform(street="*STREET")
times square	*STREET	inform(street="Times Sq")	inform(street="*STREET")
houston street	*STREET	inform(street="Houston St")	inform(street="*STREET")
chambers street	*STREET	inform(street="Chambers St")	inform(street="*STREET")
thank you goodbye	thank you goodbye	bye()&thankyou()	bye()&thankyou()
i am looking for an itinerary please my departure stop is columbia university and i am heading to dyckman street	i am looking for an itinerary please my departure stop is *STOP and i am heading to *STREET	inform(to_street="Dyckman St")&inform(stop="Columbia University")&inform(task="find_connection")	inform(to_street="*STREET")&inform(stop="*STOP")&inform(task="find_connection")
how long will it take to get to my destination	how long will it take to get to my destination	request(duration)	request(duration)
yes	yes	affirm()	affirm()
yes	yes	affirm()	affirm()
